SR#,Model,Name,Odometer,VIN,BidType,Ammount,BuyerName,Address,Phone No.
1,2015,INFINITI QX60 AWD V6,14477,5N1AL0MM2FC525394,,,,,
,,,,,Bid,"$39,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$37,000 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
,,,,,Bid,"$39,500 ",TIM DAHLE INFINITI,"4594 S State St Salt Lake City, UT 84107",(801) 262-5500
,,,,,Bid,"$38,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$39,500 ",TIM DAHLE INFINITI,"4594 S State St Salt Lake City, UT 84107",(801) 262-5500
2,2016,INFINITI QX70 AWD,13472,JN8CS1MW9GM400254,,,,,
,,,,,Bid,"$45,000 ",AUSTIN INFINITI INC,"8140 Burnet Rd Austin, TX 78757",(512) 220-0920
,,,,,Bid,"$48,000 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
,,,,,Bid,"$47,500 ",TIM DAHLE INFINITI,"4594 S State St Salt Lake City, UT 84107",(801) 262-5500
,,,,,SOLD,"$48,000 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
3,2015,INFINITI Q50 4X2 V6 SPORT,10171,JN1AV7APXFM790163,,,,,
,,,,,Bid,"$34,000 ",AUSTIN INFINITI INC,"8140 Burnet Rd Austin, TX 78757",(512) 220-0920
,,,,,Bid,"$32,000 ",COULTER INFINITI,"6225 E Test Dr, Mesa, AZ 85206, United States",480-396-1500
,,,,,SOLD,"$33,500 ",INFINITI OF MISSION VIEJO,"28471 Marguerite Pkwy Mission Viejo, CA 92692",(949) 916-4200
4,2015,INFINITI QX80 4X4,2238,JN8AZ2NE1F9085109,,,,,
,,,,,Bid,"$62,500 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
,,,,,Bid,"$68,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$66,000 ",TIM DAHLE INFINITI,"4594 S State St Salt Lake City, UT 84107",(801) 262-5500
,,,,,Bid,"$68,500 ",AUSTIN INFINITI INC,"8140 Burnet Rd Austin, TX 78757",(512) 220-0920
