S.No.,Model,Car,VIN number,Odometer,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2013,FORD ESCAPE FWD 4C SE,1FMCU0GXXDUA95200,42484,TOPLINE AUTOPMOTIVE INC,"$13,000 ","840 East Garvey Ave Monterey Park, CA 91755",(626) 572-8888,ACURA OF RIVERSIDE,"$13,250 ","8101 Auto Dr Riverside, CA 92504",(951) 688-1500,,,,
2,2010,FORD ESCAPE FWD 4C XLT,1FMCU0D72AKD07504,72277,DRIVETIME ,"$9,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME ,"$9,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
3,2012,FORD FIESTA FWD SE,3FADP4EJ4CM135222,72882,,,,,WHOLESALE INVESTMENTS INC,"$4,000 ","16161 Raymer St, Van Nuys, CA 91406","(818) 351-5457
",,,,
4,2013,CHEVROLET VOLT,1G1RE6E44DU120107,49809,CHINO HILLS FORD,"$13,000 ","4480 Chino Hills Parkway Chino, CA 91710",(909) 247-1475,CHINO HILLS FORD,"$13,000 ","4480 Chino Hills Parkway Chino, CA 91710",(909) 247-1475,,,,
5,2013,FORD FUSION FWD 4C SE,3FA6P0HR9DR165517,92754,DRIVETIME,"$7,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$7,250 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
6,2013,FORD FUSION FWD 4C SE,3FA6P0LU6DR283973,42409,BANIYASEIN AUTO TRADING,"$8,250 ",NA,NA,KAR DEPOT INC,"$8,500 ","13861 Harbor Blvd Garden Grove, CA 92843",(714) 554-2175,,,,
7,2014,FORD FUSION FWD 4C SE,3FA6P0H98ER284743,35955,,,,,,,,,,,,
8,2014,FORD MUSTANG V6 CPE,1ZVBP8AM7E5327667,14552,ACURA OF SERRAMONTE,"$14,500 ","475 Serramonte Blvd Colma, CA 94014",(650) 985-1000,,,,,ACURA OF SERRAMONTE,"$14,500 ","475 Serramonte Blvd Colma, CA 94014",(650) 985-1000
,,,,,MAC CHURCHHILL AUTO MALL,"$14,250 ","3737 Airport Fwy Bedford, TX 76021",(888) 261-6247,,,,,,,,
9,2013,FORD EXPLORER FWD V6 LIMITED,1FM5K7F88DGC61651,38791,BILL LUKE FIAT,"$25,000 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,CHINO HILLS FORD,"$25,500 ","4480 Chino Hills Parkway Chino, CA 91710",(909) 247-1475,,,,
,,,,,MAC HAIK CHRYSLER DODG,"$25,250 ","5255 IH 35 S Georgetown, TX 78626",(877) 850-7466,,,,,,,,
10,2011,FORD EDGE FWD V6 SE,2FMDK3GC8BBA56973,54808,RIGUERO MOTORS INC,"$13,000 ","2730 Garnet AVE San Diego, CA 92109",(858) 270-7700,WESTERN MOTORS/AIDE RENT A CAR,"$13,250 ",N/A,N/A,,,,
11,2014,DODGE DART GT,1C3CDFEB5ED702253,32712,,,,,,,,,SOUTH BAY MOTORS,"$11,500 ","71 Broadway Chula Vista, CA 91910",(619) 427-8400
12,2007,DODGE CHARGER 4X2 V8 R/T,2B3KA53H17H834225,80061,D V AUTO CENTER INC,"$8,000 ","21840 N 19th Ave Phoenix, AZ 85027",(623) 780-8595,SELECTIVE MOTORS SALES & LEASING,"$8,250 ","7905 Van Nuys Blvd Ste Q Van Nuys, CA 91402",(818) 697-2946,,,,
13,2010,CHRYSLER SEBRING 4C TOURING,1C3CC4FB3AN212775,89714,,,,,ADVANCED FLEET SERVICES,"$3,750 ","208 Greenfield Dr Ste I, El Cajon, CA 92020","(619) 588-8900
",,,,
14,2013,CHEVROLET EQUINOX AWD 4C LS,2GNFLCEK8D6367021,52886,,,,,BALL HONDA,"$15,000 ","2135 National City Blvd National City, CA 91950",(888) 708-7251,,,,
15,2012,CHEVROLET MALIBU 4C LT PLAT,1G1ZD5EU2CF370347,64789,,,,,SOUTHERN FINANCIAL,"$7,250 ",NA,NA,,,,
16,2014,CHEVROLET CRUZE 1LT,1G1PC5SB5E7343511,82015,DRIVETIME,"$9,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,OTHMANS AUTO SALES,"$9,250 ","330 N Main St Salinas, CA 93901",(831) 751-0244,,,,
,,,,,OTHMANS AUTO SALES,"$9,250 ","330 N Main St Salinas, CA 93901",(831) 751-0244,,,,,,,,
17,2014,BUICK VERANO LEATHER,1G4PS5SKXE4185819,21726,BILL LUKE FIAT,"$14,500 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,SIMPSON BUICK PONTIAC GMC,"$15,250 ","6600 Auto Center Dr Buena Park, CA 90621",(866) 894-7589,,,,
,,,,,MAC CHURCHHILL AUTO MALL,"$15,000 ","3737 Airport Fwy Bedford, TX 76021",(888) 261-6247,,,,,,,,
18,2010,MINI COOPER S,WMWMS3C54ATY51140,79039,PRESTIGE AUTOS,"$6,750 ","2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,PRESTIGE AUTOS,"$6,750 ","2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,,,,
19,2013,ACURA ILX TECH PKG,19VDE1F74DE014891,17142,ACURA OF SERRAMONTE,"$17,250 ","475 Serramonte Blvd Colma, CA 94014",(650) 985-1000,ROMERO MAZDA/ROMERO BUICK/ROMERO HYUNDAI,"$18,250 ",NA,NA,,,,
20,2013,ACURA ILX PREMIUM,19VDE1F58DE015900,28917,ACURA OF SERRAMONTE,"$14,500 ","475 Serramonte Blvd Colma, CA 94014",(650) 985-1000,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$16,250 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277
,,,,,CARDINALE GMC TRUCK,"$15,750 ","2 Heitzinger Plaza Seaside, CA 93955",(877) 957-1626,,,,,,,,
21,2013,ACURA TL FWD V6 TECH PKG,19UUA8F58DA004766,34450,,,,,,,,,SOUTHERN FINANCIAL,"$19,750 ",NA,NA
22,2013,ACURA TL FWD V6 TECH PKG,19UUA8F59DA003285,69281,,,,,,,,,L A AUTO EMPORIUM INC,"$17,500 ","8917 State St South Gate, CA 90280",(323) 249-5161
23,2007,ASTON MART VANTAGE,SCFBB03B87GC03627,56978,PUBLIC AUTO BROKERS,"$36,500 ","500 Sh 121 Bus Lewisville, TX 75067",(972) 221-4594,DREAM MOTORS,"$36,750 ","1808 Woolley Way Sacramento, CA 95815",(916) 256-8724,,,,
,,,,,DREAM MOTORS,"$36,750 ","1808 Woolley Way Sacramento, CA 95815",(916) 256-8724,,,,,,,,
24,2013,INFINITI G37 4X2 JOURNEY,JN1CV6AP4DM711585,22196,,,,,SOUTHERN FINANCIAL,"$18,750 ",NA,NA,,,,
25,2014,SUBARU IMP WRX WRX STI,JF1GR8H66EL217947,25512,SC MOTORS INC,"$27,750 ","609 W Orangethorpe Ave Placentia, CA 92870",(714) 524-8400,,,,,STG AUTO GROUP,"$28,750 ","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595
,,,,,DEFINITIVE MOTORS, ,"203 116th Ave NE Bellevue, WA 98004",(425) 562-8080,,,,,,,,
26,1999,GMC SAFARI EXT,1GKDM19W4XB516254,99075,,,,,WALKER WHOLESALE,"$1,000 ","575 Birch Ct Ste G Colton, CA 92324",(909) 824-2687,,,,
