S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,DODGE DART AERO,4751,1C3CDFDH8FD300279,,,,,CARMAX # 7195,"$13,000 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
2,2015,VOLKSWAGEN JETTA 2.0L S,5500,3VW2K7AJ7FM408582,CAPISTRANO VOLKSWAGEN,"$11,600 ","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,CAPISTRANO VOLKSWAGEN,"$11,600 ","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,,,,
3,2014,KIA RIO LX,25598,KNADM4A39E6397215,DRIVETIME,"$8,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,BILL LUKE FIAT,"$8,600 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,
,,,,,BILL LUKE FIAT,"$8,600 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,,,,,
4,2010,TOYOTA COROLLA LE,40638,1NXBU4EE0AZ299326,PREMIER AUTO SALES & LEASING,"$7,800 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,CARMAX # 7195,"$8,400 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
,,,,,DRIVETIME,"$8,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
5,2011,MAZDA MAZDA3 I SPORT,41185,JM1BL1UFXB1443418,PREMIER AUTO SALES & LEASING,"$8,000 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,HYUNDAI OF ESCONDIDO,"$9,100 ","1919 Auto Park Way Escondido, CA 92029",(760) 294-2300,,,,
,,,,,CARDINALE GMC TRUCK,"$8,100 ","2 Heitzinger Plaza Seaside, CA 93955",(877) 957-1626,,,,,,,,
6,2013,NISSAN FRONTIER 4X2 CR S,42677,1N6AD0ER7DN759735,CARDINALE GMC TRUCK,"$15,900 ","2 Heitzinger Plaza Seaside, CA 93955",(877) 957-1626,CARDINALE GMC TRUCK,"$15,900 ","2 Heitzinger Plaza Seaside, CA 93955",(877) 957-1626,,,,
,,,,,PREMIER AUTO SALES & LEASING,"$15,800 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,,,,,,,,
7,2009,KIA OPTIMA 4C EX,60406,KNAGE228395276717,PREMIER AUTO SALES & LEASING,"$5,700 ","7132 N Blackstone Ave Fresno, CA 93650",(559) 449-8600,PUENTE HILLS SUBARU,"$6,900 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
,,,,,DRIVETIME,"$6,800 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
,,,,,AUTO WORLD SALES,"$5,300 ","725 Soquel Avenue Santa Cruz, CA 95062",(831) 423-9830,,,,,,,,
