Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
2012,"TOYOTA PRIUS V 5",33273,JTDZN3EU3C3176422,,,
,,,,Bid,"$17,200","JIMMY VASSER TOYOTA"
,,,,SOLD,"$17,400","SAN FRANCISCO TOYOTA"
2014,"TOYOTA YARIS LE",46954,VNKKTUD32EA008363,,,
,,,,Bid,"$9,400","PUTNAM TOYOTA"
,,,,Bid,"$9,600","ANDERSON HONDA"
,,,,SOLD,"$9,700","CITY TOYOTA CITY SCION"
2014,"LEXUS IS 250 4X2",21908,JTHBF1D20E5016880,,,
,,,,SOLD,"$27,300","LEXUS OF PLEASANTON"
2012,"SCION XD",30013,JTKKU4B42C1028006,,,
,,,,SOLD,"$10,000","MELODY TOYOTA"
2012,"SCION IQ",27690,JTNJJXB02CJ016766,,,
,,,,SOLD,"$7,700","CITY TOYOTA CITY SCION"
2010,"TOYOTA TUNDRA 4X2 DB",79544,5TFRU5F18AX020630,,,
,,,,SOLD,"$10,500","BAROCCI MOTOR GROUP"
2015,"TOYOTA 4RUNNER 4X2 SR5",43365,JTEZU5JR7F5084587,,,
,,,,SOLD,"$13,000","HERTZ CAR SALES"
2014,"LEXUS IS 250 4X2",23898,JTHBF1D29E5019678,,,
,,,,Bid,"$24,250","FREEMAN MOTOR COMPANY INC"
,,,,SOLD,"$27,000","CITY TOYOTA CITY SCION"
2007,"LEXUS GS 350 4X2",77678,JTHBE96S870024210,,,
,,,,SOLD,"$13,100","CAROSELL MOTORS INC"
2013,"LEXUS IS 250 4X2",44993,JTHBF5C23D5187372,,,
,,,,Bid,"$20,200","FREEMAN MOTORS INC"
,,,,SOLD,"$20,200","FREEMAN MOTORS INC"
2014,"LEXUS IS 250 4X2",17326,JTHBF1D28E5011670,,,
,,,,Bid,"$25,250","FREEMAN MOTOR COMPANY INC"
,,,,Bid,"$27,000","CAPITOL SUBARU"
,,,,Bid,"$27,750","OAK TREE MAZDA"
,,,,Bid,"$28,250","NIELLO INFINITI"
,,,,SOLD,"$28,250","NIELLO INFINITI"
2014,"TOYOTA PRIUS 2",47653,JTDKN3DU4E1784371,,,
,,,,IF Sale,"$24,000","HERTZ CAR SALES"
2012,"TOYOTA CAMRY 4C LE",59142,4T1BF1FK8CU061210,,,
,,,,Bid,"$12,500","AK AUTOS"
,,,,SOLD,"$12,500","AK AUTOS"
2015,"LEXUS RX 450H AWD",16227,2T2BC1BA4FC006115,,,
,,,,Bid,"$42,250","STEVINSON LEXUS OF FREDERICK"
,,,,IF Sale,"$42,250","STEVINSON LEXUS OF FREDERICK"
2014,"LEXUS IS 250 4X2",18781,JTHBF1D25E5020102,,,
,,,,Bid,"$25,500","JIMMY VASSER TOYOTA"
,,,,Bid,"$25,750","OAK TREE MAZDA"
,,,,SOLD,"$25,750","OAK TREE MAZDA"
2014,"TOYOTA PRIUS 1",45490,JTDKN3DUXE1783645,,,
,,,,SOLD,"$12,700","HERTZ CAR SALES"
2012,"LEXUS LS 460 4X2",23805,JTHBL5EF4C5111392,,,
,,,,Bid,"$33,750","OAK TREE MAZDA"
,,,,Bid,"$35,500","FREEMAN MOTORS INC"
,,,,SOLD,"$35,500","FREEMAN MOTORS INC"
2013,"TOYOTA COROLLA LE",33528,2T1BU4EEXDC953996,,,
,,,,Bid,"$11,500","AUTONATION DIRECT"
,,,,Bid,"$11,900","JIMMY VASSER TOYOTA"
,,,,SOLD,"$11,900","JIMMY VASSER TOYOTA"
2012,"TOYOTA PRIUS 2",36081,JTDKN3DU8C5533312,,,
,,,,SOLD,"$14,000","MAGNUSSENS TOYOTA OF PALO ALTO"
2014,"TOYOTA RAV4 AWD LE",49448,2T3BFREV2EW139744,,,
,,,,SOLD,"$17,900","HERTZ CAR SALES"
2012,"TOYOTA PRIUS 5",71936,JTDKN3DU5C1609480,,,
