Dealership,Address,Phone,Year,Make Model,Vehicle Odometer,Vehicle VIN,Amount,Bid Type,Auction Date
LIBERTY CARS AND TRUCKS," 600 Freeman Ln, Grass Valley, CA 95949",+1 530-477-5454
ALL GERMAN AUTO,"1327 Simpson Way Escondido, CA 92029",(760) 738-4626
DEFINITIVE MOTORS,"203 116th Ave NE Bellevue, WA 98004",(425) 562-8080
D & A AUTO SALES,"19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567
EZ AUTO SALES RENTAL,"6747 Mission St Daly City, CA 94014",(650) 755-0134
CAR POWER AUTO SALES,"1325 E Truxtun Ave Bakersfield, CA 93305",(661) 695-2321
PUENTE HILLS SABARU,"17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814
LUXURY MOTORSPORTS,"2141 E Bell Rd Phoenix, AZ 85022",(602) 569-1400
AUTO RESOURCES INC,"200 West Main Street Merced, CA 95340",209-383-4990
BALLERS,"700 S La Brea Inglewood, CA 90301",(424) 732-8504
BEVERLY HILLS UNIQUE SPORTS CARS,"1416 S La Brea Ave Los Angeles, CA 90019",(323) 935-2985
CAMACHO AUTO SALES INC,"44446 N Sierra Hwy,Lancaster, CA 93534",(661) 945-2609
JOHNNYS MOTORS INC,"1635 W 5th St Santa Ana, CA 92703",(714) 540-1488
ONLINE AUTOMOTIVE GROUP LLC,"23910 N 19th Ave Ste 22 Phoenix, AZ 85085",(623) 581-3060
RT AUTO SALES INC,"9910 S Figueroa St, Los Angeles, CA 90003",(323) 754-9590
DRIVETIME,"3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630
KARPLUS WAREHOUSE INC,"10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896
"CITY AUTO SALES, LLC","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349
FAMILY AUTO SALES,"933 S Western Ave Los Angeles, CA 90006",(213) 507-8432
DUANE AUTO SALE LLC,NA,NA
A & B MOTOR CARS INC,"2748 E Colorado Blvd Pasadena, CA 91107",(626) 796-8899
DESERT IMPORT/EXPORT AUTO SALES,"74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285
H GROUP TRADING,"3509 Kansas St,West Covina,  CA  91792",(626) 216-2749
ALL ABOUT AUTO WHOLESALE LLC,Not applicable,Not applicable
BEEMER HAUS LLC,"1900 N Scottsdale Rd Tempe, AZ 85281",(480) 485-9294
VALPARAISO MOTORS INC,"11203 Garvey Ave El Monte, CA 91733",(626) 401-9577
"SURF CITY NISSAN ","17331 Beach Blvd Huntington Beach, CA 92647
",(714) 500-6010
CAR LUX INC,"843 S La Brea Ave Inglewood, CA 90301",(310) 412-9072
CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
LRG MOTORS LLC,"1551 W. 13th St. Unit 112,Upland, CA 91786",888-729-4085
MIKES AUTO SALES,"529 El Camino Real San Bruno, CA 94066",(650) 827-9700
LEXUS OF PLEASANTON,"4345 Rosewood Drive Pleasanton, CA 94588 b/t Old Santa Rita Rd & Santa Rita Rd",(925) 918-6996
SOUTHERN FINANCIAL,NA,NA
AUTO WAY,"41785 Enterprise Cir Ste C Temecula, CA 92590",(951) 296-1233
AUTO SOURCE UNLIMITED LLC,"760 S. Frontage Rd.  Nipomo, CA 93444",805-225-6400
MONZA CAR,"14961 Ventura Blvd Sherman Oaks, CA 91403",(818) 907-1770
D & C MOTORZ INC,"2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038
K & S AUTO SALES,"3231 India St San Diego, CA 92103",(619) 683-9300
STG AUTO GROUP,"1153 W Holt Blvd Ontario, CA 91762",(909) 984-65956
ABRAMOVICH MOTORS,"27941 Jefferson Ave Temecula, CA 92590",(951) 500-4862
BARSTOW AUTO SALES,"1016 Barstow Ave Clovis, CA 93612",(559) 325-3104
JP MOTORS LLC,"18 Lucy St Woodbridge, CT 06525",(203) 387-6894
ARIZONA FINE CARS LLC,"7000 E McDowell Rd, Scottsdale, AZ 85257",888-259-7351
AUTO MART USA,"4199 Union Ave Bakersfield, CA 93305",(661) 864-7990
ANGEL GREEN AUTO,"4939 E Olympic Blvd, Los Angeles, CA 90022",(323) 264-0440
AUTOHAUS,"386 Encinitas Blvd Encinitas, CA 92024",(760) 334-0193
TYACKE MOTORS,"1690 W Center St Provo, UT 84601","
(801) 373-4445"
VOLKSWAGEN OF PUYALLUP,"820 River Rd Puyallup, WA 98371
",(253) 200-1061
WIN WIN AUTO SALES INC,Not applicable,Not applicable
MATIX MOTORING INC,Not applicable,Not applicable
