Dealership,Address,Phone,Year,Make Model,Vehicle Odometer,Vehicle VIN,Amount,Bid Type,Auction Date
PAUL BLANCO'S GOOD CAR COMPANY INLAND EMPIRE,"8205 Indiana St Riverside, CA 92504",(951) 373-5300
,,,2013,FORD EDGE FWD 4C SEL,71260,2FMDK3J96DBB07242,"$14,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,DODGE GRAND CARAVAN SE,89763,2C4RDGBG5DR762122,"$9,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,CHEVROLET EQUINOX FWD V6 LT,76465,2GNFLDE31D6184624,"$12,500 ",SOLD,12/29/2015 7:58:09 PM
PAUL BLANCOS GOOD CAR COMPANY,"2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277
,,,2011,FORD EDGE FWD V6 SE,54808,2FMDK3GC8BBA56973,"$11,500 ",IFSALE,12/29/2015 7:58:09 PM
,,,2014,FORD ESCAPE 4X4 4C SE,22493,1FMCU9GX5EUD45643,"$11,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2011,DODGE GRAND CARAVAN SE,72156,2D4RNDG5BR752702,"$8,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2014,DODGE GRAND CARAVAN SXT,79262,2C4RDGCGXER315415,"$11,000 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,CHEVROLET SPARK LS,62929,KL8CB6S97DC525995,"$5,000 ",SOLD,12/29/2015 7:58:09 PM
GEORGE CHEVROLET,"17000 Lakewood Blvd Bellflower, CA 90706",(562) 376-9736
,,,2014,FORD ESCAPE FWD 4C SE,38132,1FMCU0GXXEUC38714,"$13,750 ",SOLD,12/29/2015 7:58:09 PM
CREST NISSAN OF FRISCO,"6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941
,,,2014,FORD ESCAPE FWD 4C SE,38132,1FMCU0GXXEUC38714,"$13,500 ",ONLINE,12/29/2015 7:58:09 PM
,,,2014,FORD MUSTANG V6 CPE,14552,1ZVBP8AM7E5327667,"$15,250 ",IFSALE,12/29/2015 7:58:09 PM
AUTOBAHN,"700 Island Pkwy, Belmont, CA 94002",888-578-3454
,,,2014,FORD ESCAPE FWD 4C SE,56660,1FMCU0GX9EUD26105,"$12,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2012,FORD FUSION FWD 4C SEL,70040,3FAHP0JA7CR225306,"$6,500 ",IFSALE,12/29/2015 7:58:09 PM
DRIVETIME,"18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666
,,,2012,FORD ESCAPE FWD V6 XLT,92928,1FMCU0DG3CKC08466,"$8,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,FORD FOCUS SE,72253,1FADP3F28DL272703,"$7,750 ",SOLD,12/29/2015 7:58:09 PM
,,,2009,FORD FOCUS SEL,50312,1FAHP37N79W266097,"$7,000 ",IFSALE,12/29/2015 7:58:09 PM
,,,2013,FORD FOCUS SE,80200,1FADP3F27DL253561,"$6,500 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,CHEVROLET SONIC LT,81219,1G1JC5SG2D4103396,"$6,250 ",SOLD,12/29/2015 7:58:09 PM
,,,2013,TOYOTA YARIS LE,87337,JTDKTUD3XDD544256,"$7,750 ",SOLD,12/29/2015 7:58:09 PM
ATLAS AUTOMOTIVE,"4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257
,,,2013,FORD FOCUS SE,68051,1FADP3F20DL309775,"$7,250 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,FORD FOCUS SE,72253,1FADP3F28DL272703,"$7,250 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,NISSAN ALTIMA 4C SL,34195,1N4AL3AP4DN559249,"$14,250 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD FIESTA FWD SE,91776,3FADP4BJXBM148933,"$5,000 ",ONLINE,12/29/2015 7:58:09 PM
FIRST CHOICE AUTO CENTER,"13731 Harbor Blvd Garden Grove, CA 92843",(714) 530-5333
,,,2013,FORD FOCUS SE,68051,1FADP3F20DL309775,"$7,750 ",SOLD,12/29/2015 7:58:09 PM
AUTO PLAZA,"798 S 1st St San Jose, CA 95113",(408) 288-6266
,,,2013,FORD FOCUS SE,68051,1FADP3F20DL309775,"$7,500 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,HONDA CIVIC EX,39228,19XFB2F58DE223371,"$11,000 ",ONLINE,12/29/2015 7:58:09 PM
CHEVROLET OF GLENDORA,"1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364
,,,2013,FORD FOCUS SE,68051,1FADP3F20DL309775,"$7,000 ",ONLINE,12/29/2015 7:58:09 PM
,,,2013,FORD FOCUS SE,72253,1FADP3F28DL272703,"$7,500 ",ONLINE,12/29/2015 7:58:09 PM
,,,2009,FORD FOCUS SEL,50312,1FAHP37N79W266097,"$5,750 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,CHEVROLET VOLT,66237,1G1RE6E44CU122292,"$10,500 ",ONLINE,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,"$9,900 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,CHEVROLET COLORADO 4X2 RG WORK TRUCK,16644,1GCCSBF92C8160461,"$11,600 ",ONLINE,12/29/2015 7:58:09 PM
,,,2012,NISSAN VERSA S,26046,3N1BC1CP5CK253314,"$6,800 ",SOLD,12/29/2015 7:58:09 PM
,,,2011,FORD RANGER 4X2 4C XL,59828,1FTKR1AD8BPA88392,"$9,000 ",ONLINE,12/29/2015 7:58:09 PM
